driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s
127J. DaruvalaDARPrema Racing,22,40:29.021,-,-,151.592,1:34.711,7,1002,2019,ROUND1Summary,,,127,J  Daruvala,DAR,Prema Racing,2429.021,94.711,
221J. VipsVIPHitech Grand Prix,22,40:31.142,2.121,2.121,151.460,1:34.801,21,1002,2019,ROUND1Summary,,,221,J  Vips,VIP,Hitech Grand Prix,2431.142,94.801,2.121
319N. KariKARTrident,22,40:32.763,3.742,1.621,151.359,1:35.342,12,1002,2019,ROUND1Summary,,,319,N  Kari,KAR,Trident,2432.763,95.342,3.742
428R. ShwartzmanSHWPrema Racing,22,40:33.287,4.266,0.524,151.327,1:34.739,21,1002,2019,ROUND1Summary,,,428,R  Shwartzman,SHW,Prema Racing,2433.287,94.739,4.266
526M. ArmstrongARMPrema Racing,22,40:34.278,5.257,0.991,151.265,1:35.319,14,1002,2019,ROUND1Summary,,,526,M  Armstrong,ARM,Prema Racing,2434.278,95.319,5.257
63C. LundgaardLUNART Grand Prix,22,40:34.742,5.721,0.464,151.236,1:35.164,17,1002,2019,ROUND1Summary,,,63,C  Lundgaard,LUN,ART Grand Prix,2434.742,95.164,5.721
71D. BeckmannBECART Grand Prix,22,40:38.474,9.453,3.732,151.005,1:35.275,22,1002,2019,ROUND1Summary,,,71,D  Beckmann,BEC,ART Grand Prix,2438.474,95.275,9.453
82M. FewtrellFEWART Grand Prix,22,40:42.935,13.914,4.461,150.729,1:35.566,14,1002,2019,ROUND1Summary,,,82,M  Fewtrell,FEW,ART Grand Prix,2442.935,95.566,13.914
914Y. TsunodaTSUJenzer Motorsport,22,40:44.918,15.897,1.983,150.607,1:36.339,14,1002,2019,ROUND1Summary,,,914,Y  Tsunoda,TSU,Jenzer Motorsport,2444.918,96.339,15.897
1030F. DrugovichDRUCarlin Buzz Racing,22,40:45.612,16.591,0.694,150.564,1:36.207,17,1002,2019,ROUND1Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2445.612,96.207,16.591
117L. ZendeliZENSauber Junior Team by Charouz,22,40:46.156,17.135,0.544,150.531,1:36.320,18,1002,2019,ROUND1Summary,,,117,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2446.156,96.32,17.135
1225S. FernándezFERCampos Racing,22,40:46.761,17.740,0.605,150.493,1:36.224,18,1002,2019,ROUND1Summary,,,1225,S  Fernández,FER,Campos Racing,2446.761,96.224,17.74
1310B. ViscaalVISHWA RACELAB,22,40:47.176,18.155,0.415,150.468,1:36.308,18,1002,2019,ROUND1Summary,,,1310,B  Viscaal,VIS,HWA RACELAB,2447.176,96.308,18.155
1431L. SargeantSARCarlin Buzz Racing,22,40:47.974,18.953,0.798,150.419,1:36.063,12,1002,2019,ROUND1Summary,,,1431,L  Sargeant,SAR,Carlin Buzz Racing,2447.974,96.063,18.953
1529T. NatoriNATCarlin Buzz Racing,22,40:49.622,20.601,1.648,150.318,1:36.321,14,1002,2019,ROUND1Summary,,,1529,T  Natori,NAT,Carlin Buzz Racing,2449.622,96.321,20.601
1618P. PiquetPIQTrident,22,40:50.218,21.197,0.596,150.281,1:36.184,7,1002,2019,ROUND1Summary,,,1618,P  Piquet,PIQ,Trident,2450.218,96.184,21.197
174L. LawsonLAWMP Motorsport,22,40:51.591,22.570,1.373,150.197,1:35.889,20,1002,2019,ROUND1Summary,,,174,L  Lawson,LAW,MP Motorsport,2451.591,95.889,22.57
1812K. AndresANDHWA RACELAB,22,40:53.477,24.456,1.886,150.081,1:36.061,20,1002,2019,ROUND1Summary,,,1812,K  Andres,AND,HWA RACELAB,2453.477,96.061,24.456
196R. VerschoorVERMP Motorsport,22,40:53.853,24.832,0.376,150.058,1:36.162,12,1002,2019,ROUND1Summary,,,196,R  Verschoor,VER,MP Motorsport,2453.853,96.162,24.832
2017D. DeFrancescoDEFTrident,22,40:54.389,25.368,0.536,150.026,1:36.086,14,1002,2019,ROUND1Summary,,,2017,D  DeFrancesco,DEF,Trident,2454.389,96.086,25.368
2120L. PulciniPULHitech Grand Prix,22,41:00.473,31.452,6.084,149.655,1:35.467,14,1002,2019,ROUND1Summary,,,2120,L  Pulcini,PUL,Hitech Grand Prix,2460.473,95.467,31.452
2216A. EstnerESTJenzer Motorsport,22,41:02.881,33.860,2.408,149.508,1:36.548,7,1002,2019,ROUND1Summary,,,2216,A  Estner,EST,Jenzer Motorsport,2462.881,96.548,33.86
2324A. DeleddaDELCampos Racing,22,41:07.723,38.702,4.842,149.215,1:36.323,7,1002,2019,ROUND1Summary,,,2324,A  Deledda,DEL,Campos Racing,2467.723,96.323,38.702
2423A. PeroniPERCampos Racing,22,41:16.561,47.540,8.838,148.682,1:35.149,16,1002,2019,ROUND1Summary,,,2423,A  Peroni,PER,Campos Racing,2476.561,95.149,47.54
DNF5S. LaaksonenLAAMP Motorsport,8,16:29.115,DNF,-,135.080,1:36.443,7,1002,2019,ROUND1Summary,,DNF,5,S  Laaksonen,LAA,MP Motorsport,989.115,96.443,
DNF8F. SchererSCHSauber Junior Team by Charouz,8,16:36.235,DNF,-,134.115,1:36.562,7,1002,2019,ROUND1Summary,,DNF,8,F  Scherer,SCH,Sauber Junior Team by Charouz,996.235,96.562,
DNF22Y. YifeiYIFHitech Grand Prix,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,22,Y  Yifei,YIF,Hitech Grand Prix,,,
DNF9R. HymanHYMSauber Junior Team by Charouz,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,9,R  Hyman,HYM,Sauber Junior Team by Charouz,,,
DNF11J. HughesHUGHWA RACELAB,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,11,J  Hughes,HUG,HWA RACELAB,,,
DNF15A. PetrovPETJenzer Motorsport,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,15,A  Petrov,PET,Jenzer Motorsport,,,
128R. ShwartzmanSHWPrema Racing,20,38:04.147,-,-,184.25,1:52.391,15,1003,2019,ROUND2Summary,,,128,R  Shwartzman,SHW,Prema Racing,2284.147,112.391,
218P. PiquetPIQTrident,20,38:05.626,1.479,1.479,184.13,1:52.759,18,1003,2019,ROUND2Summary,,,218,P  Piquet,PIQ,Trident,2285.626,112.759,1.479
327J. DaruvalaDARPrema Racing,20,38:06.996,2.849,1.370,184.02,1:52.559,14,1003,2019,ROUND2Summary,,,327,J  Daruvala,DAR,Prema Racing,2286.996,112.559,2.849
46R. VerschoorVERMP Motorsport,20,38:12.447,8.300,5.451,183.583,1:52.180,19,1003,2019,ROUND2Summary,,,46,R  Verschoor,VER,MP Motorsport,2292.447,112.18,8.3
54L. LawsonLAWMP Motorsport,20,38:20.380,16.233,1.092,182.949,1:52.766,19,1003,2019,ROUND2Summary,,,54,L  Lawson,LAW,MP Motorsport,2300.38,112.766,16.233
626M. ArmstrongARMPrema Racing,20,38:19.288,15.141,6.841,183.036,1:52.171,18,1003,2019,ROUND2Summary,,,626,M  Armstrong,ARM,Prema Racing,2299.288,112.171,15.141
711J. HughesHUGHWA RACELAB,20,38:25.511,21.364,5.131,182.542,1:53.565,13,1003,2019,ROUND2Summary,,,711,J  Hughes,HUG,HWA RACELAB,2305.511,113.565,21.364
831L. SargeantSARCarlin Buzz Racing,20,38:26.060,21.913,0.549,182.499,1:53.733,4,1003,2019,ROUND2Summary,,,831,L  Sargeant,SAR,Carlin Buzz Racing,2306.06,113.733,21.913
914Y. TsunodaTSUJenzer Motorsport,20,38:27.053,22.906,0.993,182.42,1:53.509,3,1003,2019,ROUND2Summary,,,914,Y  Tsunoda,TSU,Jenzer Motorsport,2307.053,113.509,22.906
1030F. DrugovichDRUCarlin Buzz Racing,20,38:29.760,25.613,2.707,182.206,1:53.624,5,1003,2019,ROUND2Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2309.76,113.624,25.613
1116A. EstnerESTJenzer Motorsport,20,38:29.822,25.675,0.062,182.202,1:53.629,14,1003,2019,ROUND2Summary,,,1116,A  Estner,EST,Jenzer Motorsport,2309.822,113.629,25.675
1220L. PulciniPULHitech Grand Prix,20,38:30.065,25.918,0.243,182.182,1:53.101,19,1003,2019,ROUND2Summary,,,1220,L  Pulcini,PUL,Hitech Grand Prix,2310.065,113.101,25.918
139R. HymanHYMSauber Junior Team by Charouz,20,38:33.919,29.772,3.854,181.879,1:53.200,18,1003,2019,ROUND2Summary,,,139,R  Hyman,HYM,Sauber Junior Team by Charouz,2313.919,113.2,29.772
1423A. PeroniPERCampos Racing,20,38:34.470,30.323,0.551,181.836,1:53.544,2,1003,2019,ROUND2Summary,,,1423,A  Peroni,PER,Campos Racing,2314.47,113.544,30.323
153C. LundgaardLUNART Grand Prix,20,38:35.588,31.441,1.118,181.748,1:53.801,13,1003,2019,ROUND2Summary,,,153,C  Lundgaard,LUN,ART Grand Prix,2315.588,113.801,31.441
167L. ZendeliZENSauber Junior Team by Charouz,20,38:36.188,32.041,0.600,181.701,1:53.096,18,1003,2019,ROUND2Summary,,,167,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2316.188,113.096,32.041
1721J. VipsVIPHitech Grand Prix,20,38:36.746,32.599,0.558,181.657,1:53.202,14,1003,2019,ROUND2Summary,,,1721,J  Vips,VIP,Hitech Grand Prix,2316.746,113.202,32.599
182M. FewtrellFEWART Grand Prix,20,38:38.105,33.958,1.359,181.551,1:53.707,14,1003,2019,ROUND2Summary,,,182,M  Fewtrell,FEW,ART Grand Prix,2318.105,113.707,33.958
1912K. AndresANDHWA RACELAB,20,38:38.956,34.809,0.851,181.484,1:53.789,19,1003,2019,ROUND2Summary,,,1912,K  Andres,AND,HWA RACELAB,2318.956,113.789,34.809
2010B. ViscaalVISHWA RACELAB,20,38:38.958,34.811,0.002,181.484,1:53.489,3,1003,2019,ROUND2Summary,,,2010,B  Viscaal,VIS,HWA RACELAB,2318.958,113.489,34.811
2117D. DeFrancescoDEFTrident,20,38:41.648,37.501,2.690,181.273,1:53.599,5,1003,2019,ROUND2Summary,,,2117,D  DeFrancesco,DEF,Trident,2321.648,113.599,37.501
2222Y. YifeiYIFHitech Grand Prix,20,39:10.199,66.052,28.551,179.071,1:53.360,16,1003,2019,ROUND2Summary,,,2222,Y  Yifei,YIF,Hitech Grand Prix,2350.199,113.36,66.052
2324A. DeleddaDELCampos Racing,20,39:53.120,108.973,42.921,175.86,1:54.231,18,1003,2019,ROUND2Summary,,,2324,A  Deledda,DEL,Campos Racing,2393.12,114.231,108.973
DNF19N. KariKARTrident,18,34:52.242,DNF,-,181.045,1:53.140,14,1003,2019,ROUND2Summary,,DNF,19,N  Kari,KAR,Trident,2092.242,113.14,
DNF5S. LaaksonenLAAMP Motorsport,16,31:28.584,DNF,-,178.297,1:54.172,13,1003,2019,ROUND2Summary,,DNF,5,S  Laaksonen,LAA,MP Motorsport,1888.584,114.172,
DNF25S. FernándezFERCampos Racing,15,29:10.867,DNF,-,180.309,1:54.029,3,1003,2019,ROUND2Summary,,DNF,25,S  Fernández,FER,Campos Racing,1750.867,114.029,
DNF8F. SchererSCHSauber Junior Team by Charouz,11,21:23.172,DNF,-,180.469,1:53.986,4,1003,2019,ROUND2Summary,,DNF,8,F  Scherer,SCH,Sauber Junior Team by Charouz,1283.172,113.986,
DNF29T. NatoriNATCarlin Buzz Racing,5,9:56.585,DNF,-,176.649,1:53.843,3,1003,2019,ROUND2Summary,,DNF,29,T  Natori,NAT,Carlin Buzz Racing,596.585,113.843,
DNF1D. BeckmannBECART Grand Prix,2,4:00.035,DNF,-,176.194,1:54.814,2,1003,2019,ROUND2Summary,,DNF,1,D  Beckmann,BEC,ART Grand Prix,240.035,114.814,
111J. HughesHUGHWA RACELAB,24,34:47.494,-,-,178.501,1:21.458,10,1004,2019,ROUND3Summary,,,111,J  Hughes,HUG,HWA RACELAB,2087.494,81.458,
227J. DaruvalaDARPrema Racing,24,34:52.221,4.727,4.727,178.098,1:21.654,19,1004,2019,ROUND3Summary,,,227,J  Daruvala,DAR,Prema Racing,2092.221,81.654,4.727
328R. ShwartzmanSHWPrema Racing,24,34:52.344,4.850,0.123,178.088,1:21.547,10,1004,2019,ROUND3Summary,,,328,R  Shwartzman,SHW,Prema Racing,2092.344,81.547,4.85
42M. FewtrellFEWART Grand Prix,24,34:52.572,5.079,0.229,178.068,1:21.834,20,1004,2019,ROUND3Summary,,,42,M  Fewtrell,FEW,ART Grand Prix,2092.572,81.834,5.079
520L. PulciniPULHitech Grand Prix,24,34:53.159,5.666,0.587,178.018,1:21.613,10,1004,2019,ROUND3Summary,,,520,L  Pulcini,PUL,Hitech Grand Prix,2093.159,81.613,5.666
621J. VipsVIPHitech Grand Prix,24,34:53.580,6.086,0.420,177.982,1:21.610,15,1004,2019,ROUND3Summary,,,621,J  Vips,VIP,Hitech Grand Prix,2093.58,81.61,6.086
77L. ZendeliZENSauber Junior Team by Charouz,24,34:54.199,6.705,0.619,177.93,1:21.660,15,1004,2019,ROUND3Summary,,,77,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2094.199,81.66,6.705
819N. KariKARTrident,24,34:55.262,7.768,1.063,177.84,1:21.518,16,1004,2019,ROUND3Summary,,,819,N  Kari,KAR,Trident,2095.262,81.518,7.768
917D. DeFrancescoDEFTrident,24,34:56.407,8.913,1.145,177.742,1:21.710,15,1004,2019,ROUND3Summary,,,917,D  DeFrancesco,DEF,Trident,2096.407,81.71000000000001,8.913
101D. BeckmannBECART Grand Prix,24,34:57.666,10.172,1.259,177.636,1:21.968,16,1004,2019,ROUND3Summary,,,101,D  Beckmann,BEC,ART Grand Prix,2097.666,81.968,10.172
1114Y. TsunodaTSUJenzer Motorsport,24,34:58.210,10.716,0.544,177.59,1:21.636,15,1004,2019,ROUND3Summary,,,1114,Y  Tsunoda,TSU,Jenzer Motorsport,2098.21,81.636,10.716
126R. VerschoorVERMP Motorsport,24,34:59.864,12.370,1.654,177.45,1:21.631,15,1004,2019,ROUND3Summary,,,126,R  Verschoor,VER,MP Motorsport,2099.864,81.631,12.37
1312K. AndresANDHWA RACELAB,24,35:01.809,14.315,1.945,177.286,1:21.644,20,1004,2019,ROUND3Summary,,,1312,K  Andres,AND,HWA RACELAB,2101.809,81.644,14.315
1430F. DrugovichDRUCarlin Buzz Racing,24,35:02.240,14.746,0.431,177.249,1:22.074,9,1004,2019,ROUND3Summary,,,1430,F  Drugovich,DRU,Carlin Buzz Racing,2102.24,82.074,14.746
1518P. PiquetPIQTrident,24,35:02.917,15.423,0.677,177.192,1:21.422,20,1004,2019,ROUND3Summary,,,1518,P  Piquet,PIQ,Trident,2102.917,81.422,15.423
169R. HymanHYMSauber Junior Team by Charouz,24,35:03.197,15.703,0.280,177.169,1:21.736,20,1004,2019,ROUND3Summary,,,169,R  Hyman,HYM,Sauber Junior Team by Charouz,2103.197,81.736,15.703
173C. LundgaardLUNART Grand Prix,24,35:03.466,15.972,0.269,177.146,1:21.234,20,1004,2019,ROUND3Summary,,,173,C  Lundgaard,LUN,ART Grand Prix,2103.466,81.23400000000001,15.972
185S. LaaksonenLAAMP Motorsport,24,35:07.171,19.677,3.705,176.835,1:21.830,17,1004,2019,ROUND3Summary,,,185,S  Laaksonen,LAA,MP Motorsport,2107.171,81.83,19.677
1926M. ArmstrongARMPrema Racing,24,35:07.357,19.863,0.186,176.819,1:21.427,17,1004,2019,ROUND3Summary,,,1926,M  Armstrong,ARM,Prema Racing,2107.357,81.42699999999999,19.863
2016A. EstnerESTJenzer Motorsport,24,35:09.520,22.026,2.163,176.638,1:21.724,18,1004,2019,ROUND3Summary,,,2016,A  Estner,EST,Jenzer Motorsport,2109.52,81.724,22.026
2115G. CarraraCARJenzer Motorsport,24,35:11.361,23.867,1.841,176.484,1:21.930,14,1004,2019,ROUND3Summary,,,2115,G  Carrara,CAR,Jenzer Motorsport,2111.361,81.93,23.867
2229T. NatoriNATCarlin Buzz Racing,24,35:12.154,24.660,0.793,176.417,1:22.097,20,1004,2019,ROUND3Summary,,,2229,T  Natori,NAT,Carlin Buzz Racing,2112.154,82.09700000000001,24.66
238F. SchererSCHSauber Junior Team by Charouz,24,35:12.726,25.232,0.572,176.37,1:22.172,20,1004,2019,ROUND3Summary,,,238,F  Scherer,SCH,Sauber Junior Team by Charouz,2112.726,82.172,25.232
2424A. DeleddaDELCampos Racing,24,35:18.478,30.984,5.752,175.891,1:22.538,14,1004,2019,ROUND3Summary,,,2424,A  Deledda,DEL,Campos Racing,2118.478,82.538,30.984
254L. LawsonLAWMP Motorsport,23,34:49.688,1 LAP,1 LAP,170.875,1:21.895,16,1004,2019,ROUND3Summary,,,254,L  Lawson,LAW,MP Motorsport,2089.688,81.895,
2631L. SargeantSARCarlin Buzz Racing,21,35:45.779,3 LAPS,2 LAPS,151.92,1:21.866,17,1004,2019,ROUND3Summary,,,2631,L  Sargeant,SAR,Carlin Buzz Racing,2145.779,81.866,
DNF25S. FernándezFERCampos Racing,20,28:30.679,DNF,-,181.473,1:21.923,20,1004,2019,ROUND3Summary,,DNF,25,S  Fernández,FER,Campos Racing,1710.679,81.923,
DNF23A. PeroniPERCampos Racing,20,28:31.251,DNF,-,181.412,1:21.570,20,1004,2019,ROUND3Summary,,DNF,23,A  Peroni,PER,Campos Racing,1711.251,81.57,
DNF22Y. YifeiYIFHitech Grand Prix,10,14:01.077,DNF,-,184.28,1:22.377,5,1004,2019,ROUND3Summary,,DNF,22,Y  Yifei,YIF,Hitech Grand Prix,841.077,82.377,
DNF10B. ViscaalVISHWA RACELAB,10,14:00.404,DNF,-,184.428,1:22.220,4,1004,2019,ROUND3Summary,,DNF,10,B  Viscaal,VIS,HWA RACELAB,840.404,82.22,
15L. LawsonLAWHitech Grand Prix,24,37:01.698,-,-,167.719,1:21.900,5,1012,2020,ROUND1Summary,,,15,L  Lawson,LAW,Hitech Grand Prix,2221.698,81.9,
217R. VerschoorVERMP Motorsport,24,37:02.115,0.417,-,167.687,1:21.800,13,1012,2020,ROUND1Summary,,,217,R  Verschoor,VER,MP Motorsport,2222.115,81.8,0.417
326C. NovalakNOVCarlin Buzz Racing,24,37:03.000,1.302,0.885,167.621,1:22.144,6,1012,2020,ROUND1Summary,,,326,C  Novalak,NOV,Carlin Buzz Racing,2223.0,82.144,1.302
411D. BeckmannBECTrident,24,37:03.337,1.639,0.337,167.595,1:22.074,4,1012,2020,ROUND1Summary,,,411,D  Beckmann,BEC,Trident,2223.337,82.074,1.639
510L. ZendeliZENTrident,24,37:03.930,2.232,0.593,167.55,1:21.771,4,1012,2020,ROUND1Summary,,,510,L  Zendeli,ZEN,Trident,2223.93,81.771,2.232
62F. VestiVESPREMA Racing,24,37:04.534,2.836,0.604,167.505,1:21.759,4,1012,2020,ROUND1Summary,,,62,F  Vesti,VES,PREMA Racing,2224.534,81.759,2.836
78A. SmolyarSMOART Grand Prix,24,37:04.788,3.090,0.254,167.486,1:21.866,4,1012,2020,ROUND1Summary,,,78,A  Smolyar,SMO,ART Grand Prix,2224.788,81.866,3.09
81O. PiastriPIAPREMA Racing,24,37:05.149,3.451,0.361,167.459,1:21.513,4,1012,2020,ROUND1Summary,,,81,O  Piastri,PIA,PREMA Racing,2225.149,81.513,3.451
914E. FittipaldiFITHWA RACELAB,24,37:05.796,4.098,0.647,167.41,1:21.530,10,1012,2020,ROUND1Summary,,,914,E  Fittipaldi,FIT,HWA RACELAB,2225.796,81.53,4.098
104M. FewtrellFEWHitech Grand Prix,24,37:06.278,4.580,0.482,167.374,1:21.849,15,1012,2020,ROUND1Summary,,,104,M  Fewtrell,FEW,Hitech Grand Prix,2226.278,81.849,4.58
1118B. ViscaalVISMP Motorsport,24,37:06.673,4.975,0.395,167.344,1:21.730,13,1012,2020,ROUND1Summary,,,1118,B  Viscaal,VIS,MP Motorsport,2226.673,81.73,4.975
1215J. HughesHUGHWA RACELAB,24,37:07.135,5.437,0.462,167.309,1:21.720,10,1012,2020,ROUND1Summary,,,1215,J  Hughes,HUG,HWA RACELAB,2227.135,81.72,5.437
139S. FernándezFERART Grand Prix,24,37:07.904,6.206,0.769,167.252,1:21.860,17,1012,2020,ROUND1Summary,,,139,S  Fernández,FER,ART Grand Prix,2227.904,81.86,6.206
1419L. DunnerDUNMP Motorsport,24,37:08.807,7.109,0.903,167.184,1:22.205,13,1012,2020,ROUND1Summary,,,1419,L  Dunner,DUN,MP Motorsport,2228.807,82.205,7.109
1525D. SchumacherSCHCharouz Racing System,24,37:10.197,8.499,1.390,167.08,1:22.405,14,1012,2020,ROUND1Summary,,,1525,D  Schumacher,SCH,Charouz Racing System,2230.197,82.405,8.499
1631S. FloerschFLOCampos Racing,24,37:10.857,9.159,0.660,167.03,1:22.271,13,1012,2020,ROUND1Summary,,,1631,S  Floersch,FLO,Campos Racing,2230.857,82.271,9.159
1720C. WilliamsWILJenzer Motorsport,24,37:11.189,9.491,0.332,167.005,1:22.186,14,1012,2020,ROUND1Summary,,,1720,C  Williams,WIL,Jenzer Motorsport,2231.189,82.186,9.491
1822M. NanniniNANJenzer Motorsport,24,37:11.562,9.864,0.373,166.977,1:22.299,14,1012,2020,ROUND1Summary,,,1822,M  Nannini,NAN,Jenzer Motorsport,2231.562,82.299,9.864
1912O. CaldwellCALTrident,24,37:12.647,10.949,1.085,166.896,1:21.744,13,1012,2020,ROUND1Summary,,,1912,O  Caldwell,CAL,Trident,2232.647,81.744,10.949
2030A. DeleddaDELCampos Racing,24,37:13.086,11.388,0.439,166.863,1:22.413,13,1012,2020,ROUND1Summary,,,2030,A  Deledda,DEL,Campos Racing,2233.086,82.413,11.388
2121F. MalvestitiMALJenzer Motorsport,24,37:13.748,12.050,0.662,166.814,1:22.267,9,1012,2020,ROUND1Summary,,,2121,F  Malvestiti,MAL,Jenzer Motorsport,2233.748,82.267,12.05
226D. HaugerHAUHitech Grand Prix,24,37:14.143,12.445,0.395,166.785,1:21.997,13,1012,2020,ROUND1Summary,,,226,D  Hauger,HAU,Hitech Grand Prix,2234.143,81.997,12.445
2323R. StanekSTACharouz Racing System,24,37:14.887,13.189,0.744,166.729,1:22.329,13,1012,2020,ROUND1Summary,,,2323,R  Stanek,STA,Charouz Racing System,2234.887,82.32900000000001,13.189
2427E. AhmedAHMCarlin Buzz Racing,24,37:19.835,18.137,4.948,166.361,1:22.520,13,1012,2020,ROUND1Summary,,,2427,E  Ahmed,AHM,Carlin Buzz Racing,2239.835,82.52,18.137
2524I. FragaFRACharouz Racing System,24,37:32.536,30.838,12.701,165.423,1:22.068,13,1012,2020,ROUND1Summary,,,2524,I  Fraga,FRA,Charouz Racing System,2252.536,82.068,30.838
267T. PourchairePOUART Grand Prix,24,37:41.935,40.237,9.399,164.735,1:21.908,4,1012,2020,ROUND1Summary,,,267,T  Pourchaire,POU,ART Grand Prix,2261.935,81.908,40.237
273L. SargeantSARPREMA Racing,23,37:20.159,1 LAP,1 LAP,159.397,1:21.795,14,1012,2020,ROUND1Summary,,,273,L  Sargeant,SAR,PREMA Racing,2240.159,81.795,
2816J. DoohanDOOHWA RACELAB,16,37:28.954,8 LAPS,7 LAPS,110.39,1:22.507,4,1012,2020,ROUND1Summary,,,2816,J  Doohan,DOO,HWA RACELAB,2248.954,82.507,
DNF29A. PeroniPERCampos Racing,10,13:53.161,DNF,-,186.031,1:21.721,4,1012,2020,ROUND1Summary,,DNF,29,A  Peroni,PER,Campos Racing,833.1610000000001,81.721,
DNF28C. DasDASCarlin Buzz Racing,5,7:44.984,DNF,-,166.178,1:23.591,3,1012,2020,ROUND1Summary,,DNF,28,C  Das,DAS,Carlin Buzz Racing,464.984,83.59100000000001,
17T. PourchairePOUART Grand Prix,24,38:25.185,-,-,161.644,1:21.229,9,1019,2020,ROUND2Summary,,,17,T  Pourchaire,POU,ART Grand Prix,2305.185,81.229,
23L. SargeantSARPREMA Racing,24,38:25.649,0.464,0.464,161.612,1:21.277,10,1019,2020,ROUND2Summary,,,23,L  Sargeant,SAR,PREMA Racing,2305.649,81.277,0.464
311D. BeckmannBECTrident,24,38:25.859,0.674,0.210,161.597,1:21.442,19,1019,2020,ROUND2Summary,,,311,D  Beckmann,BEC,Trident,2305.859,81.44200000000001,0.674
417R. VerschoorVERMP Motorsport,24,38:26.287,1.102,0.428,161.567,1:21.312,20,1019,2020,ROUND2Summary,,,417,R  Verschoor,VER,MP Motorsport,2306.287,81.312,1.102
51O. PiastriPIAPREMA Racing,24,38:26.990,1.805,0.703,161.518,1:20.968,20,1019,2020,ROUND2Summary,,,51,O  Piastri,PIA,PREMA Racing,2306.99,80.968,1.805
612O. CaldwellCALTrident,24,38:27.061,1.876,0.071,161.513,1:21.192,20,1019,2020,ROUND2Summary,,,612,O  Caldwell,CAL,Trident,2307.061,81.19200000000001,1.876
74M. FewtrellFEWHitech Grand Prix,24,38:27.382,2.197,0.321,161.491,1:21.083,20,1019,2020,ROUND2Summary,,,74,M  Fewtrell,FEW,Hitech Grand Prix,2307.382,81.083,2.197
82F. VestiVESPREMA Racing,24,38:27.779,2.594,0.397,161.463,1:21.193,20,1019,2020,ROUND2Summary,,,82,F  Vesti,VES,PREMA Racing,2307.779,81.193,2.594
99S. FernándezFERART Grand Prix,24,38:28.202,3.017,0.423,161.433,1:21.691,20,1019,2020,ROUND2Summary,,,99,S  Fernández,FER,ART Grand Prix,2308.202,81.691,3.017
1010L. ZendeliZENTrident,24,38:28.509,3.324,0.307,161.412,1:21.865,5,1019,2020,ROUND2Summary,,,1010,L  Zendeli,ZEN,Trident,2308.509,81.865,3.324
1129A. PeroniPERCampos Racing,24,38:28.847,3.662,0.338,161.388,1:21.539,4,1019,2020,ROUND2Summary,,,1129,A  Peroni,PER,Campos Racing,2308.847,81.539,3.662
126D. HaugerHAUHitech Grand Prix,24,38:29.153,3.968,0.306,161.367,1:21.715,4,1019,2020,ROUND2Summary,,,126,D  Hauger,HAU,Hitech Grand Prix,2309.153,81.715,3.968
1314E. FittipaldiFITHWA RACELAB,24,38:29.448,4.263,0.295,161.346,1:21.635,9,1019,2020,ROUND2Summary,,,1314,E  Fittipaldi,FIT,HWA RACELAB,2309.448,81.635,4.263
1424I. FragaFRACharouz Racing System,24,38:29.725,4.540,0.277,161.327,1:21.872,20,1019,2020,ROUND2Summary,,,1424,I  Fraga,FRA,Charouz Racing System,2309.725,81.872,4.54
1527E. AhmedAHMCarlin Buzz Racing,24,38:30.583,5.398,0.858,161.267,1:21.912,20,1019,2020,ROUND2Summary,,,1527,E  Ahmed,AHM,Carlin Buzz Racing,2310.583,81.912,5.398
1618B. ViscaalVISMP Motorsport,24,38:30.971,5.786,0.388,161.24,1:22.020,6,1019,2020,ROUND2Summary,,,1618,B  Viscaal,VIS,MP Motorsport,2310.971,82.02,5.786
1725D. SchumacherSCHCharouz Racing System,24,38:31.597,6.412,0.626,161.196,1:21.855,10,1019,2020,ROUND2Summary,,,1725,D  Schumacher,SCH,Charouz Racing System,2311.597,81.855,6.412
1819L. DunnerDUNMP Motorsport,24,38:33.564,8.379,1.787,161.059,1:22.141,9,1019,2020,ROUND2Summary,,,1819,L  Dunner,DUN,MP Motorsport,2313.564,82.14099999999999,8.379
1916J. DoohanDOOHWA RACELAB,24,38:33.773,8.588,0.209,161.045,1:22.106,20,1019,2020,ROUND2Summary,,,1916,J  Doohan,DOO,HWA RACELAB,2313.773,82.106,8.588
208A. SmolyarSMOART Grand Prix,24,38:34.109,8.924,0.336,161.021,1:21.956,9,1019,2020,ROUND2Summary,,,208,A  Smolyar,SMO,ART Grand Prix,2314.109,81.956,8.924
