driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s,laps_clean,position,winner_time_s,best_race_lap_s,race_max_laps,rel_laps,time_from_winner_s,best_lap_from_best_s,avg_lap_time_s,finished,is_dnf,is_dns,is_dsq,position_clean,team_avg_pos_season,team_speed,driver_speed,driver_top10_rate,race_avg_lap_time_s,driver_vs_team,lap_vs_race_avg,session_round
127J. DaruvalaDARPrema Racing,22,40:29.021,-,-,151.592,1:34.711,7,1002,2019,ROUND1Summary,,,127,J  Daruvala,DAR,Prema Racing,2429.021,94.711,,22.0,1.0,989.115,94.711,22.0,1.0,1439.9060000000002,0.0,110.41004545454547,1,0,0,0,1.0,5.454545454545454,112.26566403528318,112.40364692425416,0.625,112.23031381118881,-1.855618580737712,-1.8202683566433393,1
221J. VipsVIPHitech Grand Prix,22,40:31.142,2.121,2.121,151.460,1:34.801,21,1002,2019,ROUND1Summary,,,221,J  Vips,VIP,Hitech Grand Prix,2431.142,94.801,2.121,22.0,2.0,989.115,94.711,22.0,1.0,1442.0269999999998,0.09000000000000341,110.50645454545453,1,0,0,0,2.0,10.772727272727273,112.84071430093778,113.05701397058823,0.5,112.23031381118881,-2.334259755483245,-1.7238592657342764,1
319N. KariKARTrident,22,40:32.763,3.742,1.621,151.359,1:35.342,12,1002,2019,ROUND1Summary,,,319,N  Kari,KAR,Trident,2432.763,95.342,3.742,22.0,3.0,989.115,94.711,22.0,1.0,1443.648,0.6310000000000002,110.58013636363636,1,0,0,0,3.0,12.578947368421053,113.57823657516536,111.72983011363637,0.375,112.23031381118881,-2.9981002115290067,-1.6501774475524513,1
428R. ShwartzmanSHWPrema Racing,22,40:33.287,4.266,0.524,151.327,1:34.739,21,1002,2019,ROUND1Summary,,,428,R  Shwartzman,SHW,Prema Racing,2433.287,94.739,4.266,22.0,4.0,989.115,94.711,22.0,1.0,1444.1719999999998,0.028000000000005798,110.60395454545454,1,0,0,0,4.0,5.454545454545454,112.26566403528318,112.24481520721925,0.875,112.23031381118881,-1.6617094898286382,-1.6263592657342656,1
526M. ArmstrongARMPrema Racing,22,40:34.278,5.257,0.991,151.265,1:35.319,14,1002,2019,ROUND1Summary,,,526,M  Armstrong,ARM,Prema Racing,2434.278,95.319,5.257,22.0,5.0,989.115,94.711,22.0,1.0,1445.1629999999998,0.6080000000000041,110.64899999999999,1,0,0,0,5.0,5.454545454545454,112.26566403528318,112.14852997437612,0.75,112.23031381118881,-1.6166640352831934,-1.5813138111888208,1
63C. LundgaardLUNART Grand Prix,22,40:34.742,5.721,0.464,151.236,1:35.164,17,1002,2019,ROUND1Summary,,,63,C  Lundgaard,LUN,ART Grand Prix,2434.742,95.164,5.721,22.0,6.0,989.115,94.711,22.0,1.0,1445.6270000000002,0.45300000000000296,110.67009090909092,1,0,0,0,6.0,11.904761904761905,113.25568456134658,112.57256515151515,0.75,112.23031381118881,-2.5855936522556675,-1.560222902097891,1
71D. BeckmannBECART Grand Prix,22,40:38.474,9.453,3.732,151.005,1:35.275,22,1002,2019,ROUND1Summary,,,71,D  Beckmann,BEC,ART Grand Prix,2438.474,95.275,9.453,22.0,7.0,989.115,94.711,22.0,1.0,1449.3590000000002,0.5640000000000072,110.83972727272727,1,0,0,0,7.0,11.904761904761905,113.25568456134658,113.54231936956602,0.42857142857142855,112.23031381118881,-2.4159572886193104,-1.390586538461534,1
82M. FewtrellFEWART Grand Prix,22,40:42.935,13.914,4.461,150.729,1:35.566,14,1002,2019,ROUND1Summary,,,82,M  Fewtrell,FEW,ART Grand Prix,2442.935,95.566,13.914,22.0,8.0,989.115,94.711,22.0,1.0,1453.82,0.855000000000004,111.0425,1,0,0,0,8.0,11.904761904761905,113.25568456134658,113.68799851398602,0.25,112.23031381118881,-2.21318456134658,-1.1878138111888035,1
914Y. TsunodaTSUJenzer Motorsport,22,40:44.918,15.897,1.983,150.607,1:36.339,14,1002,2019,ROUND1Summary,,,914,Y  Tsunoda,TSU,Jenzer Motorsport,2444.918,96.339,15.897,22.0,9.0,989.115,94.711,22.0,1.0,1455.803,1.6280000000000001,111.13263636363637,1,0,0,0,9.0,15.15,112.72754608216275,112.58339371012758,0.75,112.23031381118881,-1.594909718526381,-1.0976774475524422,1
1030F. DrugovichDRUCarlin Buzz Racing,22,40:45.612,16.591,0.694,150.564,1:36.207,17,1002,2019,ROUND1Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2445.612,96.207,16.591,22.0,10.0,989.115,94.711,22.0,1.0,1456.497,1.4959999999999951,111.16418181818182,1,0,0,0,10.0,13.9,114.91332223624627,113.08816531544436,0.5,112.23031381118881,-3.7491404180644565,-1.0661319930069908,1
117L. ZendeliZENSauber Junior Team by Charouz,22,40:46.156,17.135,0.544,150.531,1:36.320,18,1002,2019,ROUND1Summary,,,117,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2446.156,96.32,17.135,22.0,11.0,989.115,94.711,22.0,1.0,1457.041,1.6089999999999947,111.18890909090909,1,0,0,0,11.0,14.823529411764707,114.0102857753432,112.99756915584416,0.25,112.23031381118881,-2.8213766844341137,-1.041404720279715,1
1225S. FernándezFERCampos Racing,22,40:46.761,17.740,0.605,150.493,1:36.224,18,1002,2019,ROUND1Summary,,,1225,S  Fernández,FER,Campos Racing,2446.761,96.224,17.74,22.0,12.0,989.115,94.711,22.0,1.0,1457.646,1.5130000000000052,111.2164090909091,1,0,0,0,12.0,20.27777777777778,113.7624530483527,113.31886699150952,0.0,112.23031381118881,-2.546043957443601,-1.0139047202797116,1
1310B. ViscaalVISHWA RACELAB,22,40:47.176,18.155,0.415,150.468,1:36.308,18,1002,2019,ROUND1Summary,,,1310,B  Viscaal,VIS,HWA RACELAB,2447.176,96.308,18.155,22.0,13.0,989.115,94.711,22.0,1.0,1458.061,1.5970000000000084,111.23527272727273,1,0,0,0,13.0,14.5,114.208835491008,112.78309906576267,0.125,112.23031381118881,-2.9735627637352735,-0.9950410839160782,1
1431L. SargeantSARCarlin Buzz Racing,22,40:47.974,18.953,0.798,150.419,1:36.063,12,1002,2019,ROUND1Summary,,,1431,L  Sargeant,SAR,Carlin Buzz Racing,2447.974,96.063,18.953,22.0,14.0,989.115,94.711,22.0,1.0,1458.8590000000002,1.3520000000000039,111.27154545454546,1,0,0,0,14.0,13.9,114.91332223624627,115.14782164502165,0.5,112.23031381118881,-3.6417767817008126,-0.9587683566433469,1
1529T. NatoriNATCarlin Buzz Racing,22,40:49.622,20.601,1.648,150.318,1:36.321,14,1002,2019,ROUND1Summary,,,1529,T  Natori,NAT,Carlin Buzz Racing,2449.622,96.321,20.601,22.0,15.0,989.115,94.711,22.0,1.0,1460.5069999999998,1.6099999999999994,111.34645454545453,1,0,0,0,15.0,13.9,114.91332223624627,116.7312165357052,0.125,112.23031381118881,-3.5668676907917387,-0.883859265734273,1
1618P. PiquetPIQTrident,22,40:50.218,21.197,0.596,150.281,1:36.184,7,1002,2019,ROUND1Summary,,,1618,P  Piquet,PIQ,Trident,2450.218,96.184,21.197,22.0,16.0,989.115,94.711,22.0,1.0,1461.1029999999998,1.472999999999999,111.37354545454545,1,0,0,0,16.0,12.578947368421053,113.57823657516536,112.55656095655667,0.375,112.23031381118881,-2.2046911206199127,-0.8567683566433573,1
174L. LawsonLAWMP Motorsport,22,40:51.591,22.570,1.373,150.197,1:35.889,20,1002,2019,ROUND1Summary,,,174,L  Lawson,LAW,MP Motorsport,2451.591,95.889,22.57,22.0,17.0,989.115,94.711,22.0,1.0,1462.4759999999999,1.1779999999999973,111.43595454545454,1,0,0,0,17.0,13.2,113.14871794229055,113.0845969251337,0.625,112.23031381118881,-1.71276339683601,-0.794359265734272,1
1812K. AndresANDHWA RACELAB,22,40:53.477,24.456,1.886,150.081,1:36.061,20,1002,2019,ROUND1Summary,,,1812,K  Andres,AND,HWA RACELAB,2453.477,96.061,24.456,22.0,18.0,989.115,94.711,22.0,1.0,1464.3619999999999,1.3500000000000085,111.52168181818182,1,0,0,0,18.0,14.5,114.208835491008,113.97198785093583,0.0,112.23031381118881,-2.6871536728261844,-0.7086319930069891,1
196R. VerschoorVERMP Motorsport,22,40:53.853,24.832,0.376,150.058,1:36.162,12,1002,2019,ROUND1Summary,,,196,R  Verschoor,VER,MP Motorsport,2453.853,96.162,24.832,22.0,19.0,989.115,94.711,22.0,1.0,1464.738,1.4510000000000076,111.53877272727273,1,0,0,0,19.0,13.2,113.14871794229055,112.72825964795008,0.375,112.23031381118881,-1.6099452150178166,-0.6915410839160785,1
2017D. DeFrancescoDEFTrident,22,40:54.389,25.368,0.536,150.026,1:36.086,14,1002,2019,ROUND1Summary,,,2017,D  DeFrancesco,DEF,Trident,2454.389,96.086,25.368,22.0,20.0,989.115,94.711,22.0,1.0,1465.2740000000001,1.375,111.56313636363637,1,0,0,0,20.0,12.578947368421053,113.57823657516536,116.44831865530304,0.125,112.23031381118881,-2.0151002115289884,-0.667177447552433,1
2120L. PulciniPULHitech Grand Prix,22,41:00.473,31.452,6.084,149.655,1:35.467,14,1002,2019,ROUND1Summary,,,2120,L  Pulcini,PUL,Hitech Grand Prix,2460.473,95.467,31.452,22.0,21.0,989.115,94.711,22.0,1.0,1471.358,0.7560000000000002,111.83968181818182,1,0,0,0,21.0,10.772727272727273,112.84071430093778,112.51679415663993,0.625,112.23031381118881,-1.00103248275596,-0.39063199300699125,1
2216A. EstnerESTJenzer Motorsport,22,41:02.881,33.860,2.408,149.508,1:36.548,7,1002,2019,ROUND1Summary,,,2216,A  Estner,EST,Jenzer Motorsport,2462.881,96.548,33.86,22.0,22.0,989.115,94.711,22.0,1.0,1473.7659999999998,1.8370000000000033,111.94913636363636,1,0,0,0,22.0,15.15,112.72754608216275,113.39016341354724,0.0,112.23031381118881,-0.7784097185263903,-0.28117744755245155,1
2324A. DeleddaDELCampos Racing,22,41:07.723,38.702,4.842,149.215,1:36.323,7,1002,2019,ROUND1Summary,,,2324,A  Deledda,DEL,Campos Racing,2467.723,96.323,38.702,22.0,23.0,989.115,94.711,22.0,1.0,1478.608,1.6119999999999948,112.16922727272727,1,0,0,0,23.0,20.27777777777778,113.7624530483527,114.61567648172905,0.0,112.23031381118881,-1.5932257756254273,-0.061086538461538,1
2423A. PeroniPERCampos Racing,22,41:16.561,47.540,8.838,148.682,1:35.149,16,1002,2019,ROUND1Summary,,,2423,A  Peroni,PER,Campos Racing,2476.561,95.149,47.54,22.0,24.0,989.115,94.711,22.0,1.0,1487.4460000000001,0.4380000000000024,112.57095454545455,1,0,0,0,24.0,20.27777777777778,113.7624530483527,112.25952872103387,0.0,112.23031381118881,-1.191498502898142,0.34064073426574737,1
DNF5S. LaaksonenLAAMP Motorsport,8,16:29.115,DNF,-,135.080,1:36.443,7,1002,2019,ROUND1Summary,,DNF,5,S  Laaksonen,LAA,MP Motorsport,989.115,96.443,,8.0,,989.115,94.711,22.0,0.36363636363636365,0.0,1.7319999999999993,123.639375,0,1,0,0,,13.2,113.14871794229055,113.63329725378787,0.0,112.23031381118881,10.490657057709456,11.409061188811194,1
DNF8F. SchererSCHSauber Junior Team by Charouz,8,16:36.235,DNF,-,134.115,1:36.562,7,1002,2019,ROUND1Summary,,DNF,8,F  Scherer,SCH,Sauber Junior Team by Charouz,996.235,96.562,,8.0,,989.115,94.711,22.0,0.36363636363636365,7.1200000000000045,1.850999999999999,124.529375,0,1,0,0,,14.823529411764707,114.0102857753432,114.8946787934492,0.25,112.23031381118881,10.519089224656796,12.299061188811194,1
DNF22Y. YifeiYIFHitech Grand Prix,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,22,Y  Yifei,YIF,Hitech Grand Prix,,,,,,989.115,94.711,22.0,,,,,0,1,0,0,,10.772727272727273,112.84071430093778,112.96370912910619,0.25,112.23031381118881,,,1
DNF9R. HymanHYMSauber Junior Team by Charouz,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,9,R  Hyman,HYM,Sauber Junior Team by Charouz,,,,,,989.115,94.711,22.0,,,,,0,1,0,0,,14.823529411764707,114.0102857753432,114.0122675170068,0.0,112.23031381118881,,,1
DNF11J. HughesHUGHWA RACELAB,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,11,J  Hughes,HUG,HWA RACELAB,,,,,,989.115,94.711,22.0,,,,,0,1,0,0,,14.5,114.208835491008,116.10893156565656,0.625,112.23031381118881,,,1
DNF15A. PetrovPETJenzer Motorsport,-,-,DNF,-,-,-,-,1002,2019,ROUND1Summary,,DNF,15,A  Petrov,PET,Jenzer Motorsport,,,,,,989.115,94.711,22.0,,,,,0,1,0,0,,15.15,112.72754608216275,,0.0,112.23031381118881,,,1
128R. ShwartzmanSHWPrema Racing,20,38:04.147,-,-,184.25,1:52.391,15,1003,2019,ROUND2Summary,,,128,R  Shwartzman,SHW,Prema Racing,2284.147,112.391,,20.0,1.0,240.035,112.171,20.0,1.0,2044.1119999999999,0.21999999999999886,114.20734999999999,1,0,0,0,1.0,5.454545454545454,112.26566403528318,112.24481520721925,0.875,116.09433563218391,1.941685964716811,-1.8869856321839222,2
218P. PiquetPIQTrident,20,38:05.626,1.479,1.479,184.13,1:52.759,18,1003,2019,ROUND2Summary,,,218,P  Piquet,PIQ,Trident,2285.626,112.759,1.479,20.0,2.0,240.035,112.171,20.0,1.0,2045.5910000000001,0.5879999999999939,114.28130000000002,1,0,0,0,2.0,12.578947368421053,113.57823657516536,112.55656095655667,0.375,116.09433563218391,0.703063424834653,-1.8130356321838974,2
327J. DaruvalaDARPrema Racing,20,38:06.996,2.849,1.370,184.02,1:52.559,14,1003,2019,ROUND2Summary,,,327,J  Daruvala,DAR,Prema Racing,2286.996,112.559,2.849,20.0,3.0,240.035,112.171,20.0,1.0,2046.961,0.387999999999991,114.3498,1,0,0,0,3.0,5.454545454545454,112.26566403528318,112.40364692425416,0.625,116.09433563218391,2.084135964716822,-1.7445356321839114,2
46R. VerschoorVERMP Motorsport,20,38:12.447,8.300,5.451,183.583,1:52.180,19,1003,2019,ROUND2Summary,,,46,R  Verschoor,VER,MP Motorsport,2292.447,112.18,8.3,20.0,4.0,240.035,112.171,20.0,1.0,2052.4120000000003,0.009000000000000341,114.62235000000001,1,0,0,0,4.0,13.2,113.14871794229055,112.72825964795008,0.375,116.09433563218391,1.473632057709466,-1.4719856321839018,2
626M. ArmstrongARMPrema Racing,20,38:19.288,15.141,6.841,183.036,1:52.171,18,1003,2019,ROUND2Summary,,,626,M  Armstrong,ARM,Prema Racing,2299.288,112.171,15.141,20.0,5.0,240.035,112.171,20.0,1.0,2059.253,0.0,114.9644,1,0,0,0,5.0,5.454545454545454,112.26566403528318,112.14852997437612,0.75,116.09433563218391,2.6987359647168176,-1.1299356321839156,2
54L. LawsonLAWMP Motorsport,20,38:20.380,16.233,1.092,182.949,1:52.766,19,1003,2019,ROUND2Summary,,,54,L  Lawson,LAW,MP Motorsport,2300.38,112.766,16.233,20.0,6.0,240.035,112.171,20.0,1.0,2060.3450000000003,0.5949999999999989,115.019,1,0,0,0,6.0,13.2,113.14871794229055,113.0845969251337,0.625,116.09433563218391,1.8702820577094599,-1.0753356321839078,2
711J. HughesHUGHWA RACELAB,20,38:25.511,21.364,5.131,182.542,1:53.565,13,1003,2019,ROUND2Summary,,,711,J  Hughes,HUG,HWA RACELAB,2305.511,113.565,21.364,20.0,7.0,240.035,112.171,20.0,1.0,2065.476,1.3939999999999912,115.27555,1,0,0,0,7.0,14.5,114.208835491008,116.10893156565656,0.625,116.09433563218391,1.0667145089919927,-0.8187856321839178,2
831L. SargeantSARCarlin Buzz Racing,20,38:26.060,21.913,0.549,182.499,1:53.733,4,1003,2019,ROUND2Summary,,,831,L  Sargeant,SAR,Carlin Buzz Racing,2306.06,113.733,21.913,20.0,8.0,240.035,112.171,20.0,1.0,2066.025,1.5619999999999976,115.303,1,0,0,0,8.0,13.9,114.91332223624627,115.14782164502165,0.5,116.09433563218391,0.3896777637537241,-0.791335632183916,2
914Y. TsunodaTSUJenzer Motorsport,20,38:27.053,22.906,0.993,182.42,1:53.509,3,1003,2019,ROUND2Summary,,,914,Y  Tsunoda,TSU,Jenzer Motorsport,2307.053,113.509,22.906,20.0,9.0,240.035,112.171,20.0,1.0,2067.018,1.3379999999999939,115.35265,1,0,0,0,9.0,15.15,112.72754608216275,112.58339371012758,0.75,116.09433563218391,2.625103917837251,-0.7416856321839163,2
1030F. DrugovichDRUCarlin Buzz Racing,20,38:29.760,25.613,2.707,182.206,1:53.624,5,1003,2019,ROUND2Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2309.76,113.624,25.613,20.0,10.0,240.035,112.171,20.0,1.0,2069.7250000000004,1.4529999999999887,115.48800000000001,1,0,0,0,10.0,13.9,114.91332223624627,113.08816531544436,0.5,116.09433563218391,0.5746777637537406,-0.6063356321838995,2
1116A. EstnerESTJenzer Motorsport,20,38:29.822,25.675,0.062,182.202,1:53.629,14,1003,2019,ROUND2Summary,,,1116,A  Estner,EST,Jenzer Motorsport,2309.822,113.629,25.675,20.0,11.0,240.035,112.171,20.0,1.0,2069.7870000000003,1.4579999999999984,115.4911,1,0,0,0,11.0,15.15,112.72754608216275,113.39016341354724,0.0,116.09433563218391,2.763553917837257,-0.6032356321839103,2
1220L. PulciniPULHitech Grand Prix,20,38:30.065,25.918,0.243,182.182,1:53.101,19,1003,2019,ROUND2Summary,,,1220,L  Pulcini,PUL,Hitech Grand Prix,2310.065,113.101,25.918,20.0,12.0,240.035,112.171,20.0,1.0,2070.03,0.9299999999999926,115.50325000000001,1,0,0,0,12.0,10.772727272727273,112.84071430093778,112.51679415663993,0.625,116.09433563218391,2.662535699062232,-0.5910856321839049,2
139R. HymanHYMSauber Junior Team by Charouz,20,38:33.919,29.772,3.854,181.879,1:53.200,18,1003,2019,ROUND2Summary,,,139,R  Hyman,HYM,Sauber Junior Team by Charouz,2313.919,113.2,29.772,20.0,13.0,240.035,112.171,20.0,1.0,2073.884,1.0289999999999964,115.69595,1,0,0,0,13.0,14.823529411764707,114.0102857753432,114.0122675170068,0.0,116.09433563218391,1.6856642246567901,-0.398385632183917,2
1423A. PeroniPERCampos Racing,20,38:34.470,30.323,0.551,181.836,1:53.544,2,1003,2019,ROUND2Summary,,,1423,A  Peroni,PER,Campos Racing,2314.47,113.544,30.323,20.0,14.0,240.035,112.171,20.0,1.0,2074.435,1.3729999999999905,115.72349999999999,1,0,0,0,14.0,20.27777777777778,113.7624530483527,112.25952872103387,0.0,116.09433563218391,1.9610469516472904,-0.3708356321839261,2
153C. LundgaardLUNART Grand Prix,20,38:35.588,31.441,1.118,181.748,1:53.801,13,1003,2019,ROUND2Summary,,,153,C  Lundgaard,LUN,ART Grand Prix,2315.588,113.801,31.441,20.0,15.0,240.035,112.171,20.0,1.0,2075.5530000000003,1.6299999999999955,115.77940000000001,1,0,0,0,15.0,11.904761904761905,113.25568456134658,112.57256515151515,0.75,116.09433563218391,2.5237154386534257,-0.31493563218390364,2
167L. ZendeliZENSauber Junior Team by Charouz,20,38:36.188,32.041,0.600,181.701,1:53.096,18,1003,2019,ROUND2Summary,,,167,L  Zendeli,ZEN,Sauber Junior Team by Charouz,2316.188,113.096,32.041,20.0,16.0,240.035,112.171,20.0,1.0,2076.1530000000002,0.9249999999999972,115.80940000000001,1,0,0,0,16.0,14.823529411764707,114.0102857753432,112.99756915584416,0.25,116.09433563218391,1.7991142246568046,-0.2849356321839025,2
1721J. VipsVIPHitech Grand Prix,20,38:36.746,32.599,0.558,181.657,1:53.202,14,1003,2019,ROUND2Summary,,,1721,J  Vips,VIP,Hitech Grand Prix,2316.746,113.202,32.599,20.0,17.0,240.035,112.171,20.0,1.0,2076.7110000000002,1.0309999999999917,115.8373,1,0,0,0,17.0,10.772727272727273,112.84071430093778,113.05701397058823,0.5,116.09433563218391,2.996585699062223,-0.25703563218391423,2
182M. FewtrellFEWART Grand Prix,20,38:38.105,33.958,1.359,181.551,1:53.707,14,1003,2019,ROUND2Summary,,,182,M  Fewtrell,FEW,ART Grand Prix,2318.105,113.707,33.958,20.0,18.0,240.035,112.171,20.0,1.0,2078.07,1.5359999999999872,115.90525,1,0,0,0,18.0,11.904761904761905,113.25568456134658,113.68799851398602,0.25,116.09433563218391,2.6495654386534113,-0.18908563218391805,2
1912K. AndresANDHWA RACELAB,20,38:38.956,34.809,0.851,181.484,1:53.789,19,1003,2019,ROUND2Summary,,,1912,K  Andres,AND,HWA RACELAB,2318.956,113.789,34.809,20.0,19.0,240.035,112.171,20.0,1.0,2078.9210000000003,1.617999999999995,115.9478,1,0,0,0,19.0,14.5,114.208835491008,113.97198785093583,0.0,116.09433563218391,1.738964508991998,-0.1465356321839124,2
2010B. ViscaalVISHWA RACELAB,20,38:38.958,34.811,0.002,181.484,1:53.489,3,1003,2019,ROUND2Summary,,,2010,B  Viscaal,VIS,HWA RACELAB,2318.958,113.489,34.811,20.0,20.0,240.035,112.171,20.0,1.0,2078.9230000000002,1.3179999999999978,115.9479,1,0,0,0,20.0,14.5,114.208835491008,112.78309906576267,0.125,116.09433563218391,1.7390645089920014,-0.1464356321839091,2
2117D. DeFrancescoDEFTrident,20,38:41.648,37.501,2.690,181.273,1:53.599,5,1003,2019,ROUND2Summary,,,2117,D  DeFrancesco,DEF,Trident,2321.648,113.599,37.501,20.0,21.0,240.035,112.171,20.0,1.0,2081.6130000000003,1.4279999999999973,116.0824,1,0,0,0,21.0,12.578947368421053,113.57823657516536,116.44831865530304,0.125,116.09433563218391,2.504163424834644,-0.011935632183906364,2
2222Y. YifeiYIFHitech Grand Prix,20,39:10.199,66.052,28.551,179.071,1:53.360,16,1003,2019,ROUND2Summary,,,2222,Y  Yifei,YIF,Hitech Grand Prix,2350.199,113.36,66.052,20.0,22.0,240.035,112.171,20.0,1.0,2110.164,1.188999999999993,117.50995,1,0,0,0,22.0,10.772727272727273,112.84071430093778,112.96370912910619,0.25,116.09433563218391,4.669235699062227,1.4156143678160902,2
2324A. DeleddaDELCampos Racing,20,39:53.120,108.973,42.921,175.86,1:54.231,18,1003,2019,ROUND2Summary,,,2324,A  Deledda,DEL,Campos Racing,2393.12,114.231,108.973,20.0,23.0,240.035,112.171,20.0,1.0,2153.085,2.059999999999988,119.65599999999999,1,0,0,0,23.0,20.27777777777778,113.7624530483527,114.61567648172905,0.0,116.09433563218391,5.893546951647295,3.5616643678160784,2
DNF19N. KariKARTrident,18,34:52.242,DNF,-,181.045,1:53.140,14,1003,2019,ROUND2Summary,,DNF,19,N  Kari,KAR,Trident,2092.242,113.14,,18.0,,240.035,112.171,20.0,0.9,1852.207,0.9689999999999941,116.23566666666667,0,1,0,0,,12.578947368421053,113.57823657516536,111.72983011363637,0.375,116.09433563218391,2.657430091501311,0.14133103448276074,2
DNF5S. LaaksonenLAAMP Motorsport,16,31:28.584,DNF,-,178.297,1:54.172,13,1003,2019,ROUND2Summary,,DNF,5,S  Laaksonen,LAA,MP Motorsport,1888.584,114.172,,16.0,,240.035,112.171,20.0,0.8,1648.549,2.0009999999999906,118.0365,0,1,0,0,,13.2,113.14871794229055,113.63329725378787,0.0,116.09433563218391,4.887782057709458,1.9421643678160905,2
DNF25S. FernándezFERCampos Racing,15,29:10.867,DNF,-,180.309,1:54.029,3,1003,2019,ROUND2Summary,,DNF,25,S  Fernández,FER,Campos Racing,1750.867,114.029,,15.0,,240.035,112.171,20.0,0.75,1510.8319999999999,1.8579999999999899,116.72446666666666,0,1,0,0,,20.27777777777778,113.7624530483527,113.31886699150952,0.0,116.09433563218391,2.9620136183139607,0.6301310344827442,2
DNF8F. SchererSCHSauber Junior Team by Charouz,11,21:23.172,DNF,-,180.469,1:53.986,4,1003,2019,ROUND2Summary,,DNF,8,F  Scherer,SCH,Sauber Junior Team by Charouz,1283.172,113.986,,11.0,,240.035,112.171,20.0,0.55,1043.137,1.8149999999999977,116.652,0,1,0,0,,14.823529411764707,114.0102857753432,114.8946787934492,0.25,116.09433563218391,2.641714224656795,0.5576643678160877,2
DNF29T. NatoriNATCarlin Buzz Racing,5,9:56.585,DNF,-,176.649,1:53.843,3,1003,2019,ROUND2Summary,,DNF,29,T  Natori,NAT,Carlin Buzz Racing,596.585,113.843,,5.0,,240.035,112.171,20.0,0.25,356.55000000000007,1.671999999999997,119.31700000000001,0,1,0,0,,13.9,114.91332223624627,116.7312165357052,0.125,116.09433563218391,4.403677763753734,3.222664367816094,2
DNF1D. BeckmannBECART Grand Prix,2,4:00.035,DNF,-,176.194,1:54.814,2,1003,2019,ROUND2Summary,,DNF,1,D  Beckmann,BEC,ART Grand Prix,240.035,114.814,,2.0,,240.035,112.171,20.0,0.1,0.0,2.6429999999999865,120.0175,0,1,0,0,,11.904761904761905,113.25568456134658,113.54231936956602,0.42857142857142855,116.09433563218391,6.761815438653414,3.923164367816085,2
111J. HughesHUGHWA RACELAB,24,34:47.494,-,-,178.501,1:21.458,10,1004,2019,ROUND3Summary,,,111,J  Hughes,HUG,HWA RACELAB,2087.494,81.458,,24.0,1.0,840.404,81.23400000000001,24.0,1.0,1247.0900000000001,0.22399999999998954,86.97891666666668,1,0,0,0,1.0,14.5,114.208835491008,116.10893156565656,0.625,87.77792674603174,-27.229918824341325,-0.7990100793650612,3
227J. DaruvalaDARPrema Racing,24,34:52.221,4.727,4.727,178.098,1:21.654,19,1004,2019,ROUND3Summary,,,227,J  Daruvala,DAR,Prema Racing,2092.221,81.654,4.727,24.0,2.0,840.404,81.23400000000001,24.0,1.0,1251.817,0.4199999999999875,87.175875,1,0,0,0,2.0,5.454545454545454,112.26566403528318,112.40364692425416,0.625,87.77792674603174,-25.089789035283175,-0.6020517460317336,3
328R. ShwartzmanSHWPrema Racing,24,34:52.344,4.850,0.123,178.088,1:21.547,10,1004,2019,ROUND3Summary,,,328,R  Shwartzman,SHW,Prema Racing,2092.344,81.547,4.85,24.0,3.0,840.404,81.23400000000001,24.0,1.0,1251.94,0.3129999999999882,87.181,1,0,0,0,3.0,5.454545454545454,112.26566403528318,112.24481520721925,0.875,87.77792674603174,-25.084664035283183,-0.5969267460317411,3
42M. FewtrellFEWART Grand Prix,24,34:52.572,5.079,0.229,178.068,1:21.834,20,1004,2019,ROUND3Summary,,,42,M  Fewtrell,FEW,ART Grand Prix,2092.572,81.834,5.079,24.0,4.0,840.404,81.23400000000001,24.0,1.0,1252.1680000000001,0.5999999999999943,87.1905,1,0,0,0,4.0,11.904761904761905,113.25568456134658,113.68799851398602,0.25,87.77792674603174,-26.065184561346584,-0.5874267460317384,3
520L. PulciniPULHitech Grand Prix,24,34:53.159,5.666,0.587,178.018,1:21.613,10,1004,2019,ROUND3Summary,,,520,L  Pulcini,PUL,Hitech Grand Prix,2093.159,81.613,5.666,24.0,5.0,840.404,81.23400000000001,24.0,1.0,1252.755,0.3789999999999907,87.21495833333334,1,0,0,0,5.0,10.772727272727273,112.84071430093778,112.51679415663993,0.625,87.77792674603174,-25.625755967604434,-0.562968412698396,3
621J. VipsVIPHitech Grand Prix,24,34:53.580,6.086,0.420,177.982,1:21.610,15,1004,2019,ROUND3Summary,,,621,J  Vips,VIP,Hitech Grand Prix,2093.58,81.61,6.086,24.0,6.0,840.404,81.23400000000001,24.0,1.0,1253.176,0.37599999999999056,87.2325,1,0,0,0,6.0,10.772727272727273,112.84071430093778,113.05701397058823,0.5,87.77792674603174,-25.608214300937775,-0.5454267460317368,3
